08:27:49:shaked:.../bleichenbacher/src$ python3 main.py
Query #10 (22.42 s)
Query #20 (47.393 s)
Query #30 (71.957 s)
Query #40 (96.561 s)
Query #50 (121.422 s)
Query #60 (146.155 s)
Query #70 (170.819 s)
Query #80 (195.547 s)
Query #90 (220.684 s)
Query #100 (245.255 s)
Query #110 (271.522 s)
Query #120 (296.024 s)
Query #130 (321.062 s)
Query #140 (345.689 s)
Query #150 (370.459 s)
Query #160 (395.005 s)
Query #170 (420.006 s)
Query #180 (444.617 s)
Query #190 (472.32 s)
Query #200 (496.88 s)
Query #210 (522.131 s)
Query #220 (546.799 s)
Query #230 (572.312 s)
Query #240 (600.336 s)
Query #250 (625.128 s)
Query #260 (649.871 s)
Query #270 (674.893 s)
Query #280 (699.717 s)
Query #290 (724.463 s)
Query #300 (749.225 s)
Query #310 (773.764 s)
Query #320 (798.364 s)
Query #330 (822.94 s)
Query #340 (847.66 s)
Query #350 (879.312 s)
Query #360 (904.082 s)
Query #370 (930.234 s)
Query #380 (955.614 s)
Query #390 (984.114 s)
Query #400 (1008.813 s)
Query #410 (1037.465 s)
Query #420 (1062.277 s)
Query #430 (1087.043 s)
Query #440 (1111.963 s)
Query #450 (1138.357 s)
Query #460 (1163.624 s)
Query #470 (1188.622 s)
Query #480 (1213.3 s)
Query #490 (1238.145 s)
Query #500 (1263.249 s)
Query #510 (1287.812 s)
Query #520 (1312.608 s)
Query #530 (1337.923 s)
Query #540 (1362.669 s)
Query #550 (1387.531 s)
Query #560 (1414.832 s)
Query #570 (1440.65 s)
Query #580 (1470.723 s)
Query #590 (1495.721 s)
Query #600 (1521.54 s)
Query #610 (1547.178 s)
Query #620 (1571.949 s)
Query #630 (1596.95 s)
Query #640 (1622.132 s)
Query #650 (1647.903 s)
Query #660 (1673.877 s)
Query #670 (1698.764 s)
Query #680 (1723.643 s)
Query #690 (1748.428 s)
Query #700 (1773.861 s)
Query #710 (1801.699 s)
Query #720 (1826.508 s)
Query #730 (1851.444 s)
Query #740 (1876.201 s)
Query #750 (1900.843 s)
Query #760 (1928.296 s)
Query #770 (1953.093 s)
Query #780 (1978.475 s)
Query #790 (2003.305 s)
Query #800 (2028.276 s)
Query #810 (2053.431 s)
Query #820 (2078.021 s)
Query #830 (2102.629 s)
Query #840 (2127.543 s)
Query #850 (2154.929 s)
Query #860 (2179.64 s)
Query #870 (2208.962 s)
Query #880 (2234.797 s)
Query #890 (2259.989 s)
Query #900 (2284.602 s)
Query #910 (2311.258 s)
Query #920 (2336.369 s)
Query #930 (2361.151 s)
Query #940 (2385.762 s)
Query #950 (2412.844 s)
Query #960 (2437.921 s)
Query #970 (2463.01 s)
Query #980 (2487.862 s)
Query #990 (2512.889 s)
Query #1000 (2540.484 s)
Query #1010 (2565.596 s)
Query #1020 (2590.262 s)
Query #1030 (2615.034 s)
Query #1040 (2640.01 s)
Query #1050 (2665.762 s)
Query #1060 (2690.717 s)
Query #1070 (2715.548 s)
Query #1080 (2740.198 s)
Query #1090 (2764.93 s)
Query #1100 (2790.522 s)
Query #1110 (2815.44 s)
Query #1120 (2840.146 s)
Query #1130 (2865.141 s)
Query #1140 (2890.702 s)
Query #1150 (2915.562 s)
Query #1160 (2940.132 s)
Query #1170 (2965.601 s)
Query #1180 (2990.8 s)
Query #1190 (3015.74 s)
Query #1200 (3040.539 s)
Query #1210 (3065.202 s)
Query #1220 (3090.221 s)
Query #1230 (3115.852 s)
Query #1240 (3142.107 s)
Query #1250 (3167.136 s)
Query #1260 (3191.706 s)
Query #1270 (3217.178 s)
Query #1280 (3241.873 s)
Query #1290 (3271.252 s)
Query #1300 (3296.064 s)
Query #1310 (3321.927 s)
Query #1320 (3346.773 s)
Query #1330 (3372.615 s)
Query #1340 (3397.883 s)
Query #1350 (3422.813 s)
Query #1360 (3447.655 s)
Query #1370 (3472.653 s)
Query #1380 (3497.408 s)
Query #1390 (3522.745 s)
Query #1400 (3547.431 s)
Query #1410 (3573.914 s)
Query #1420 (3598.664 s)
Query #1430 (3626.687 s)
Query #1440 (3651.331 s)
Query #1450 (3675.981 s)
Query #1460 (3701.377 s)
Query #1470 (3726.288 s)
Query #1480 (3751.118 s)
Query #1490 (3775.809 s)
Query #1500 (3800.781 s)
Query #1510 (3825.404 s)
Query #1520 (3850.931 s)
Query #1530 (3875.999 s)
Query #1540 (3900.674 s)
Query #1550 (3925.555 s)
Query #1560 (3950.229 s)
Query #1570 (3975.379 s)
Query #1580 (4000.091 s)
Query #1590 (4025.155 s)
Query #1600 (4051.716 s)
Query #1610 (4076.493 s)
Query #1620 (4101.681 s)
Query #1630 (4127.058 s)
Query #1640 (4151.62 s)
Query #1650 (4176.867 s)
Query #1660 (4204.342 s)
Query #1670 (4229.109 s)
Query #1680 (4255.124 s)
Query #1690 (4279.811 s)
Query #1700 (4304.668 s)
Query #1710 (4329.871 s)
Query #1720 (4354.915 s)
Query #1730 (4379.796 s)
Query #1740 (4404.637 s)
Query #1750 (4429.722 s)
Query #1760 (4454.585 s)
Query #1770 (4479.369 s)
Query #1780 (4504.055 s)
Query #1790 (4529.394 s)
Query #1800 (4555.851 s)
Query #1810 (4581.027 s)
Query #1820 (4605.765 s)
Query #1830 (4631.041 s)
Query #1840 (4655.887 s)
Query #1850 (4681.048 s)
Query #1860 (4705.891 s)
Query #1870 (4730.625 s)
Query #1880 (4761.809 s)
Query #1890 (4786.578 s)
Query #1900 (4811.869 s)
Query #1910 (4836.751 s)
Query #1920 (4862.604 s)
Query #1930 (4888.908 s)
Query #1940 (4914.199 s)
Query #1950 (4940.222 s)
Query #1960 (4965.003 s)
Query #1970 (4989.82 s)
Query #1980 (5014.782 s)
Query #1990 (5039.674 s)
Query #2000 (5065.053 s)
Query #2010 (5090.032 s)
----------
Original password:
b'MY_pa$$w0rd_is_v3ry_c0mpl3Xtdkfstawwxvfxjhayqpjjfclmyvfvreyuuxsufgmnoyeaxmyigkbbtadbkktdisnsrqbuponddfwhhsfdpfhcnqvkpgtvmodabdnsiawfowkyjckonsgfkikpnndzcttflumruwmthfiktovxcowrsiwqpnvvsemwxuqgdqugojfayxanddfplrypasiofhwzjxamlfmtjnsqjmcwmdkvsblia'
Ciphertext of the password that we try to decrypt:
